2026-04-18 11:28:59.181 | torri.integration              | INFO     | main                :56   | Kafka config: server=localhost:9094 topic=gerrit-stream-events group_id=events-consumer-group
2026-04-18 11:28:59.181 | torri.integration              | INFO     | main                :57   | Gerrit config: url=http://localhost:8087/g user=torii auth_enabled=True
2026-04-18 11:28:59.181 | torri.connection.gerrit        | DEBUG    | __init__            :208  | Initialized GerritRestConnection base_url=http://localhost:8087/g authenticated=True
2026-04-18 11:28:59.182 | torri.integration              | INFO     | main                :68   | Starting Kafka connection
2026-04-18 11:28:59.183 | torri.kafka.connection         | INFO     | connect             :42   | Connected to Kafka, subscribed to gerrit-stream-events
2026-04-18 11:28:59.184 | torri.kafka.connection         | INFO     | get_events          :63   | Starting event consumption loop...
2026-04-18 11:28:59.184 | torri.integration              | INFO     | main                :71   | Starting Gerrit event processor
2026-04-18 11:28:59.184 | torri.integration              | INFO     | main                :74   | Integration harness running. Press Ctrl+C to stop.
2026-04-18 11:28:59.256 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'patchSet': {'number': 1, 'revision': '71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db', 'parents': ['fc7ada184998abe2a70d750b3cd020d0dd17c053'], 'ref': 'refs/changes/03/3/1', 'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'createdOn': 1776500870, 'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'kind': 'REWORK', 'sizeInsertions': 9, 'sizeDeletions': 0}, 'change': {'project': 'libraries/common-utils', 'branch': 'master', 'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770', 'number': 3, 'subject': 'fall-1', 'owner': {'email': 'torii@localdomain', 'username': 'torii'}, 'url': 'http://gerrit:8080/g/c/libraries/common-utils/+/3', 'commitMessage': 'fall-1\n\nChange-Id: I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770\n', 'createdOn': 1776500870, 'status': 'NEW', 'wip': True}, 'project': 'libraries/common-utils', 'refName': 'refs/heads/master', 'changeKey': {'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770'}, 'type': 'patchset-created', 'eventCreatedOn': 1776500870}
2026-04-18 11:28:59.256 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['uploader', 'patchSet', 'change', 'project', 'refName', 'changeKey', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.257 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'approvals': [{'type': 'All-Approvals', 'description': 'All-Approvals', 'value': '0'}, {'type': 'Verified', 'description': 'Verified', 'value': '0'}, {'type': 'Gatekeeper', 'description': 'Gatekeeper', 'value': '0'}, {'type': 'Patch-Set-Lock', 'description': 'Patch-Set-Lock', 'value': '0'}, {'type': 'Code-Review', 'description': 'Code-Review', 'value': '0'}, {'type': 'Integrated', 'description': 'Integrated', 'value': '0'}, {'type': 'PIT-Verified', 'description': 'PIT-Verified', 'value': '0'}], 'comment': 'Patch Set 1:\n\nThis change is ready for review.', 'patchSet': {'number': 1, 'revision': '71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db', 'parents': ['fc7ada184998abe2a70d750b3cd020d0dd17c053'], 'ref': 'refs/changes/03/3/1', 'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'createdOn': 1776500870, 'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'kind': 'REWORK', 'sizeInsertions': 9, 'sizeDeletions': 0}, 'change': {'project': 'libraries/common-utils', 'branch': 'master', 'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770', 'number': 3, 'subject': 'fall-1', 'owner': {'email': 'torii@localdomain', 'username': 'torii'}, 'url': 'http://gerrit:8080/g/c/libraries/common-utils/+/3', 'commitMessage': 'fall-1\n\nChange-Id: I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770\n', 'createdOn': 1776500870, 'status': 'NEW'}, 'project': 'libraries/common-utils', 'refName': 'refs/heads/master', 'changeKey': {'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770'}, 'type': 'comment-added', 'eventCreatedOn': 1776500877}
2026-04-18 11:28:59.257 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=patchset-created change=3 patch=1 project=libraries/common-utils
2026-04-18 11:28:59.257 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': '0000000000000000000000000000000000000000', 'newRev': 'f72fc30d82548b50ae126472df99885b3684c3f1', 'refName': 'refs/changes/04/4/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500896}
2026-04-18 11:28:59.257 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :73   | Submitting change enrichment for change=3
2026-04-18 11:28:59.258 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': '0000000000000000000000000000000000000000', 'newRev': '553a86acba35fec2e07154caaca22a4b705c6327', 'refName': 'refs/changes/03/3/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500870}
2026-04-18 11:28:59.258 | torri.connection.gerrit        | DEBUG    | _getChange          :283  | Cache miss or refresh for key=('3', None) refresh=False
2026-04-18 11:28:59.258 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['author', 'approvals', 'comment', 'patchSet', 'change', 'project', 'refName', 'changeKey', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.259 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'changer': {'email': 'torii@localdomain', 'username': 'torii'}, 'patchSet': {'number': 1, 'revision': '71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db', 'parents': ['fc7ada184998abe2a70d750b3cd020d0dd17c053'], 'ref': 'refs/changes/03/3/1', 'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'createdOn': 1776500870, 'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'kind': 'REWORK', 'sizeInsertions': 9, 'sizeDeletions': 0}, 'change': {'project': 'libraries/common-utils', 'branch': 'master', 'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770', 'number': 3, 'subject': 'fall-1', 'owner': {'email': 'torii@localdomain', 'username': 'torii'}, 'url': 'http://gerrit:8080/g/c/libraries/common-utils/+/3', 'commitMessage': 'fall-1\n\nChange-Id: I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770\n', 'createdOn': 1776500870, 'status': 'NEW'}, 'project': 'libraries/common-utils', 'refName': 'refs/heads/master', 'changeKey': {'id': 'I933e1c8ba05d1a3ad3f60e9b6f42287a695a2770'}, 'type': 'wip-state-changed', 'eventCreatedOn': 1776500877}
2026-04-18 11:28:59.259 | torri.connection.gerrit        | DEBUG    | _getChange          :286  | Network manager state=fetch change=3
2026-04-18 11:28:59.259 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=comment-added change=3 patch=1 project=libraries/common-utils
2026-04-18 11:28:59.259 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'patchSet': {'number': 1, 'revision': '908602f16c1e088a7a0c390a96033bd11d948ed9', 'parents': ['71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db'], 'ref': 'refs/changes/04/4/1', 'uploader': {'email': 'torii@localdomain', 'username': 'torii'}, 'createdOn': 1776500896, 'author': {'email': 'torii@localdomain', 'username': 'torii'}, 'kind': 'REWORK', 'sizeInsertions': 9, 'sizeDeletions': 0}, 'change': {'project': 'libraries/common-utils', 'branch': 'master', 'id': 'I731294220140f0d6a4daf8190153a191a2f172d8', 'number': 4, 'subject': 'fll-2', 'owner': {'email': 'torii@localdomain', 'username': 'torii'}, 'url': 'http://gerrit:8080/g/c/libraries/common-utils/+/4', 'commitMessage': 'fll-2\n\nChange-Id: I731294220140f0d6a4daf8190153a191a2f172d8\n', 'createdOn': 1776500896, 'status': 'NEW', 'wip': True}, 'project': 'libraries/common-utils', 'refName': 'refs/heads/master', 'changeKey': {'id': 'I731294220140f0d6a4daf8190153a191a2f172d8'}, 'type': 'patchset-created', 'eventCreatedOn': 1776500896}
2026-04-18 11:28:59.260 | torri.connection.gerrit        | DEBUG    | _getChange          :307  | Fetching and updating change=3 patchset=None
2026-04-18 11:28:59.260 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :73   | Submitting change enrichment for change=3
2026-04-18 11:28:59.260 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': '0000000000000000000000000000000000000000', 'newRev': '71ea7ebfa01ffc2f7bb8dc20fd29f3d674db85db', 'refName': 'refs/changes/03/3/1', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500870}
2026-04-18 11:28:59.260 | torri.connection.gerrit        | DEBUG    | _updateChange       :335  | Updating change=3 patchset=None history=['3']
2026-04-18 11:28:59.261 | torri.connection.gerrit        | DEBUG    | _getChange          :280  | Cache hit for key=('3', None)
2026-04-18 11:28:59.261 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.261 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': '553a86acba35fec2e07154caaca22a4b705c6327', 'newRev': 'ec7ec68124dc91038b11b40fdbf1ff13cd7f44d2', 'refName': 'refs/changes/03/3/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500877}
2026-04-18 11:28:59.261 | torri.connection.gerrit        | DEBUG    | query               :225  | Query change=3 attempt=1/3
2026-04-18 11:28:59.262 | torri.gerrit.event_processor   | DEBUG    | _on_enrichment_done :86   | Enrichment done for change=3 has_details=True
2026-04-18 11:28:59.262 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
2026-04-18 11:28:59.262 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': '0000000000000000000000000000000000000000', 'newRev': '908602f16c1e088a7a0c390a96033bd11d948ed9', 'refName': 'refs/changes/04/4/1', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500896}
2026-04-18 11:28:59.262 | torri.connection.gerrit        | DEBUG    | _get                :254  | HTTP GET http://localhost:8087/g/a/changes/3?o=DETAILED_ACCOUNTS&o=CURRENT_REVISION&o=CURRENT_COMMIT&o=CURRENT_FILES&o=LABELS&o=DETAILED_LABELS&o=ALL_REVISIONS
2026-04-18 11:28:59.263 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=comment-added change=3 branch=master
2026-04-18 11:28:59.263 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :79   | Event has no change number, dispatching directly
2026-04-18 11:28:59.263 | torri.kafka.connection         | DEBUG    | get_events          :94   | Received data from kafka with this data {'submitter': {'email': 'torii@localdomain', 'username': 'torii'}, 'refUpdate': {'oldRev': 'f72fc30d82548b50ae126472df99885b3684c3f1', 'newRev': 'd67de8d99b172a20c764f8c3b58c8038ccc525dc', 'refName': 'refs/changes/04/4/meta', 'project': 'libraries/common-utils'}, 'type': 'ref-updated', 'eventCreatedOn': 1776500899}
2026-04-18 11:28:59.264 | urllib3.connectionpool         | DEBUG    | _new_conn           :241  | Starting new HTTP connection (1): localhost:8087
2026-04-18 11:28:59.265 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
